Le bon voyage:,"July 10, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 10, 2018 at 0:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Artist Talk: Georg Baselitz,"July 10, 2018 at 3:0 p.m.",The Hirshhorn Museum and Sculpture Garden,
First Amendment Highlights Tour,"July 11, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
First Amendment Highlights Tour,"July 12, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
First Amendment Highlights Tour,"July 13, 2018 at 9:0 a.m.",The Newseum,"Have limited time, but lots of interest? Take a 60-minute First Amendment Guided Highlights Tour of the Newseum and explore the very best of our exhibits and collections. Buy your<br/><a href=""http://www.newseum.org/event/guided-highlights-tour/"">Read More</a>"
Le bon voyage:,"July 13, 2018 at 5:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 13, 2018 at 5:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Le bon voyage:,"July 13, 2018 at 5:0 p.m.",The Blind Whino Art Annex,"Born in Togo, West Africa and raised in Washington, DC, <a target=""_blank"" href=""https://www.instagram.com/tabibonney/"">Tabi Bonney</a> follows in the footsteps of his activist-musician father, Togo born Itadi Bonney, who spent his life focused on one singular mission: &nbsp;to bring the “music” of “home” to the US. As an artist in music, Tabi earns domestic and global radio and TV exposure, and has performed on stages all over the world. As an entrepreneur, Tabi produced and distributed his own fashion line, bonneyrunway, which would lead to collaborations featuring product designs with African fabrics and prints.&nbsp; As a video director, Tabi works with emerging talent everywhere from Washington DC to LA to Togo. Like his father, in his style and in his work, Tabi finds himself expressing about “home.” Through his portraits on display, Tabi is expressing, for the first time, for East Africa, for Ethiopia, one of the most magical and stunning “homes” he’s ever visited. &nbsp;"
Remembering the Legacy of Robert F. Kennedy,"July 14, 2018 at 7:0 a.m.",The Newseum,"Kerry Kennedy, daughter of Robert F. Kennedy, shares personal remembrances of her father and discusses the influence that he continues to have on the issues at the heart of America’s<br/><a href=""http://www.newseum.org/event/remembering-the-legacy-of-robert-f-kennedy/"">Read More</a>"
